2016-03-04	1603.01581v8	Causal inference for data-driven debugging and decision making in cloud computing	Philipp Geiger; Lucian Carata; Bernhard Schoelkopf
2016-05-02	1605.00391v2	Recovery of non-linear cause-effect relationships from linearly mixed neuroimaging data	Sebastian Weichwald; Arthur Gretton; Bernhard Schölkopf; Moritz Grosse-Wentrup
2016-05-26	1605.08179v2	Discovering Causal Signals in Images	David Lopez-Paz; Robert Nishihara; Soumith Chintala; Bernhard Schölkopf; Léon Bottou
2016-05-31	1605.09522v4	Kernel Mean Embedding of Distributions: A Review and Beyond	Krikamol Muandet; Kenji Fukumizu; Bharath Sriperumbudur; Bernhard Schölkopf
2016-06-14	1606.04250v3	Experimental and causal view on information integration in autonomous agents	Philipp Geiger; Katja Hofmann; Bernhard Schölkopf
2016-08-29	1608.08028v2	From Deterministic ODEs to Dynamic Structural Causal Models	Paul K. Rubenstein; Stephan Bongers; Bernhard Schoelkopf; Joris M. Mooij
2016-11-18	1611.06221v6	Foundations of Structural Causal Models with Cycles and Latent Variables	Stephan Bongers; Patrick Forré; Jonas Peters; Joris M. Mooij
2017-05-05	1705.02212v1	Group invariance principles for causal generative models	Michel Besserve; Naji Shajarisales; Bernhard Schölkopf; Dominik Janzing
2017-06-08	1706.02744v2	Avoiding Discrimination through Causal Reasoning	Niki Kilbertus; Mateo Rojas-Carulla; Giambattista Parascandolo; Moritz Hardt; Dominik Janzing; Bernhard Schölkopf
2017-06-30	1706.10234v1	Probabilistic Active Learning of Functions in Structural Causal Models	Paul K. Rubenstein; Ilya Tolstikhin; Philipp Hennig; Bernhard Schoelkopf
2017-07-04	1707.00819v1	Causal Consistency of Structural Equation Models	Paul K. Rubenstein; Sebastian Weichwald; Stephan Bongers; Joris M. Mooij; Dominik Janzing; Moritz Grosse-Wentrup; Bernhard Schölkopf
2017-10-06	1710.02428v2	A pixel-level model for event discovery in time-domain imaging	Dun Wang; David W. Hogg; Daniel Foreman-Mackey; Bernhard Schölkopf
2017-12-04	1712.00961v5	Learning Independent Causal Mechanisms	Giambattista Parascandolo; Niki Kilbertus; Mateo Rojas-Carulla; Bernhard Schölkopf
2018-02-19	1802.06698v2	Analysis of cause-effect inference by comparing regression errors	Patrick Blöbaum; Dominik Janzing; Takashi Washio; Shohei Shimizu; Bernhard Schölkopf
2018-03-02	1803.00810v1	Detecting non-causal artifacts in multivariate linear regression models	Dominik Janzing; Bernhard Schoelkopf
2018-04-11	1804.03911v1	Structural causal models for macro-variables in time-series	Dominik Janzing; Paul Rubenstein; Bernhard Schölkopf
2018-04-30	1804.11130v4	Competitive Training of Mixtures of Independent Deep Generative Models	Francesco Locatello; Damien Vincent; Ilya Tolstikhin; Gunnar Rätsch; Sylvain Gelly; Bernhard Schölkopf
2018-06-04	1806.01094v3	Robustifying Independent Component Analysis by Adjusting for Group-Wise Stationary Noise	Niklas Pfister; Sebastian Weichwald; Peter Bühlmann; Bernhard Schölkopf
2018-10-31	1811.00007v2	Robustly Disentangled Causal Mechanisms: Validating Deep Representations for Interventional Robustness	Raphael Suter; Đorđe Miladinović; Bernhard Schölkopf; Stefan Bauer
2018-12-03	1812.00524v1	Generalization in anti-causal learning	Niki Kilbertus; Giambattista Parascandolo; Bernhard Schölkopf
2019-02-08	1902.02979v4	Fair Decisions Despite Imperfect Predictions	Niki Kilbertus; Manuel Gomez-Rodriguez; Bernhard Schölkopf; Krikamol Muandet; Isabel Valera
2019-03-05	1903.01672v5	Causal Discovery from Heterogeneous/Nonstationary Data with Independent Changes	Biwei Huang; Kun Zhang; Jiji Zhang; Joseph Ramsey; Ruben Sanchez-Romero; Clark Glymour; Bernhard Schölkopf
2019-03-06	1903.02456v2	Orthogonal Structure Search for Efficient Causal Discovery from Observational Data	Anant Raj; Luigi Gresele; Michel Besserve; Bernhard Schölkopf; Stefan Bauer
2019-05-28	1905.12081v4	Semi-Supervised Learning, Causality and the Conditional Cluster Assumption	Julius von Kügelgen; Alexander Mey; Marco Loog; Bernhard Schölkopf
2019-10-09	1910.03962v1	Optimal experimental design via Bayesian optimization: active causal structure learning for Gaussian process networks	Julius von Kügelgen; Paul K Rubenstein; Bernhard Schölkopf; Adrian Weller
2019-11-24	1911.10500v2	Causality for Machine Learning	Bernhard Schölkopf
2020-02-14	2002.06278v4	Algorithmic Recourse: from Counterfactual Explanations to Interventions	Amir-Hossein Karimi; Bernhard Schölkopf; Isabel Valera
2020-04-01	2004.00184v2	A theory of independent mechanisms for extrapolation in generative models	Michel Besserve; Rémy Sun; Dominik Janzing; Bernhard Schölkopf
2020-04-27	2004.12906v1	Towards causal generative scene models via competition of experts	Julius von Kügelgen; Ivan Ustyuzhaninov; Peter Gehler; Matthias Bethge; Bernhard Schölkopf
2020-05-14	2005.07180v3	Simpson's paradox in Covid-19 case fatality rates: a mediation analysis of age-related causal effects	Julius von Kügelgen; Luigi Gresele; Bernhard Schölkopf
2020-05-18	2005.08543v3	Necessary and sufficient conditions for causal feature selection in time series with latent common causes	Atalanti A. Mastakouri; Bernhard Schölkopf; Dominik Janzing
2020-06-11	2006.06831v3	Algorithmic recourse under imperfect causal knowledge: a probabilistic approach	Amir-Hossein Karimi; Julius von Kügelgen; Bernhard Schölkopf; Isabel Valera
2020-06-14	2006.07886v3	On Disentangled Representations Learned From Correlated Data	Frederik Träuble; Elliot Creager; Niki Kilbertus; Francesco Locatello; Andrea Dittadi; Anirudh Goyal; Bernhard Schölkopf; Stefan Bauer
2020-07-06	2007.02938v3	Causal Feature Selection via Orthogonal Search	Ashkan Soleymani; Anant Raj; Stefan Bauer; Bernhard Schölkopf; Michel Besserve
2020-07-23	2007.11896v2	Causal analysis of Covid-19 spread in Germany	Atalanti A. Mastakouri; Bernhard Schölkopf
2020-10-07	2010.03110v4	Causal Curiosity: RL Agents Discovering Self-supervised Experiments for Causal Representation Learning	Sumedh A. Sontakke; Arash Mehrjou; Laurent Itti; Bernhard Schölkopf
2020-10-08	2010.04296v2	CausalWorld: A Robotic Manipulation Benchmark for Causal Structure and Transfer Learning	Ossama Ahmed; Frederik Träuble; Anirudh Goyal; Alexander Neitz; Yoshua Bengio; Bernhard Schölkopf; Manuel Wüthrich; Stefan Bauer
2020-10-13	2010.06529v5	On the Fairness of Causal Algorithmic Recourse	Julius von Kügelgen; Amir-Hossein Karimi; Umang Bhatt; Isabel Valera; Adrian Weller; Bernhard Schölkopf
2020-12-16	2012.09092v1	Sample-Efficient Reinforcement Learning via Counterfactual-Based Data Augmentation	Chaochao Lu; Biwei Huang; Ke Wang; José Miguel Hernández-Lobato; Kun Zhang; Bernhard Schölkopf
