2022-06-03	2206.01665v2	BaCaDI: Bayesian Causal Discovery with Unknown Interventions	Alexander Hägele; Jonas Rothfuss; Lars Lorch; Vignesh Ram Somnath; Bernhard Schölkopf; Andreas Krause
2022-06-04	2206.02013v2	Causal Discovery in Heterogeneous Environments Under the Sparse Mechanism Shift Hypothesis	Ronan Perry; Julius von Kügelgen; Bernhard Schölkopf
2022-06-22	2206.11131v1	Variational Causal Dynamics: Discovering Modular World Models from Interventions	Anson Lei; Bernhard Schölkopf; Ingmar Posner
2022-07-11	2207.04771v2	Functional Generalized Empirical Likelihood Estimation for Conditional Moment Restrictions	Heiner Kremer; Jia-Jie Zhu; Krikamol Muandet; Bernhard Schölkopf
2022-07-13	2207.06137v1	Probing the Robustness of Independent Mechanism Analysis for Representation Learning	Joanna Sliwa; Shubhangi Ghosh; Vincent Stimper; Luigi Gresele; Bernhard Schölkopf
2022-07-20	2207.09944v4	Probable Domain Generalization via Quantile Risk Minimization	Cian Eastwood; Alexander Robey; Shashank Singh; Julius von Kügelgen; Hamed Hassani; George J. Pappas; Bernhard Schölkopf
2022-07-20	2207.10156v1	Structural Causal 3D Reconstruction	Weiyang Liu; Zhen Liu; Liam Paull; Adrian Weller; Bernhard Schölkopf
2022-10-13	2210.09054v2	On the Identifiability and Estimation of Causal Location-Scale Noise Models	Alexander Immer; Christoph Schultheiss; Julia E. Vogt; Bernhard Schölkopf; Peter Bühlmann; Alexander Marx
2022-10-21	2210.12023v3	A Causal Framework to Quantify the Robustness of Mathematical Reasoning with Language Models	Alessandro Stolfo; Zhijing Jin; Kumar Shridhar; Bernhard Schölkopf; Mrinmaya Sachan
2022-10-29	2210.16525v2	Spectral Representation Learning for Conditional Moment Models	Ziyu Wang; Yucen Luo; Yueru Li; Jun Zhu; Bernhard Schölkopf
2022-11-07	2211.03846v4	Federated Causal Discovery From Interventions	Amin Abyaneh; Nino Scherrer; Patrick Schwab; Stefan Bauer; Bernhard Schölkopf; Arash Mehrjou
2022-12-13	2212.06925v4	On the Relationship Between Explanation and Prediction: A Causal View	Amir-Hossein Karimi; Krikamol Muandet; Simon Kornblith; Bernhard Schölkopf; Been Kim
2022-12-14	2212.08498v1	Evaluating vaccine allocation strategies using simulation-assisted causal modelling	Armin Kekić; Jonas Dehning; Luigi Gresele; Julius von Kügelgen; Viola Priesemann; Bernhard Schölkopf
2023-01-12	2301.05169v2	Causal Triplet: An Open Challenge for Intervention-centric Causal Representation Learning	Yuejiang Liu; Alexandre Alahi; Chris Russell; Max Horn; Dominik Zietlow; Bernhard Schölkopf; Francesco Locatello
